timestamp,service,message,normalized_message,is_fault,fault_type,cluster_id
2024-06-09 06:06:20,syslogd 1.4.1,restart.,restart.,False,normal,3
2024-06-09 06:06:20,syslog,syslogd startup succeeded,syslogd startup succeeded,False,normal,7
2024-06-09 06:06:20,syslog,klogd startup succeeded,klogd startup succeeded,False,normal,7
2024-06-09 06:06:20,kernel,"klogd 1.4.1, log source = /proc/kmsg started.","klogd <NUM>.<NUM>.<NUM>, log source = /proc/kmsg started.",False,normal,2
2024-06-09 06:06:20,kernel,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,Linux version <NUM>.<NUM>.<NUM>-<NUM>.<NUM> (bhcompile@bugs.build.redhat.com) (gcc version <NUM>.<NUM>.<NUM> <NUM> (Red Hat Linux <NUM>.<NUM>.<NUM>-<NUM>)) #<NUM> Sat May <NUM> <NUM>:<NUM>:<NUM> EDT <NUM>,False,normal,2
2024-06-09 06:06:20,kernel,BIOS-provided physical RAM map:,BIOS-provided physical RAM map:,False,normal,3
2024-06-09 06:06:20,kernel,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),BIOS-e820: <NUM> - 00000000000a0000 (usable),False,normal,2
2024-06-09 06:06:20,kernel,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),BIOS-e820: 00000000000f0000 - <NUM> (reserved),False,normal,2
2024-06-09 06:06:20,kernel,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),BIOS-e820: <NUM> - 0000000007eae000 (usable),False,normal,2
2024-06-09 06:06:20,kernel,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),BIOS-e820: 0000000007eae000 - <NUM> (reserved),False,normal,2
2024-06-09 06:06:20,kernel,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),BIOS-e820: 00000000ffb00000 - <NUM> (reserved),False,normal,2
2024-06-09 06:06:20,kernel,0MB HIGHMEM available.,0MB HIGHMEM available.,False,normal,3
2024-06-09 06:06:20,kernel,126MB LOWMEM available.,126MB LOWMEM available.,False,normal,3
2024-06-09 06:06:20,kernel,zapping low mappings.,zapping low mappings.,False,normal,3
2024-06-09 06:06:20,kernel,On node 0 totalpages: 32430,On node <NUM> totalpages: <NUM>,False,normal,2
2024-06-09 06:06:20,kernel,"DMA zone: 4096 pages, LIFO batch:1","DMA zone: <NUM> pages, LIFO batch:<NUM>",False,normal,2
2024-06-09 06:06:20,kernel,"Normal zone: 28334 pages, LIFO batch:6","Normal zone: <NUM> pages, LIFO batch:<NUM>",False,normal,2
2024-06-09 06:06:20,kernel,"HighMem zone: 0 pages, LIFO batch:1","HighMem zone: <NUM> pages, LIFO batch:<NUM>",False,normal,2
2024-06-09 06:06:20,kernel,DMI 2.3 present.,DMI <NUM>.<NUM> present.,False,normal,2
2024-06-09 06:06:20,kernel,ACPI disabled because your bios is from 2000 and too old,ACPI disabled because your bios is from <NUM> and too old,False,normal,2
2024-06-09 06:06:20,kernel,You can enable it with acpi=force,You can enable it with acpi=force,False,normal,3
2024-06-09 06:06:20,kernel,Built 1 zonelists,Built <NUM> zonelists,False,normal,2
2024-06-09 06:06:20,irqbalance,irqbalance startup succeeded,irqbalance startup succeeded,False,normal,7
2024-06-09 06:06:20,kernel,Kernel command line: ro root=LABEL=/ rhgb quiet,Kernel command line: ro root=LABEL=/ rhgb quiet,False,normal,3
2024-06-09 06:06:20,kernel,mapped 4G/4G trampoline to ffff3000.,mapped 4G/4G trampoline to ffff3000.,False,normal,3
2024-06-09 06:06:20,kernel,Initializing CPU#0,Initializing CPU#<NUM>,False,normal,2
2024-06-09 06:06:20,portmap,portmap startup succeeded,portmap startup succeeded,False,normal,7
2024-06-09 06:06:20,kernel,"CPU 0 irqstacks, hard=02345000 soft=02344000","CPU <NUM> irqstacks, hard=<NUM> soft=<NUM>",False,normal,2
2024-06-09 06:06:20,kernel,PID hash table entries: 512 (order 9: 4096 bytes),PID hash table entries: <NUM> (order <NUM>: <NUM> bytes),False,normal,2
2024-06-09 06:06:20,kernel,Detected 731.214 MHz processor.,Detected <NUM>.<NUM> MHz processor.,False,normal,2
2024-06-09 06:06:20,kernel,Using tsc for high-res timesource,Using tsc for high-res timesource,False,normal,3
2024-06-09 06:06:20,kernel,Console: colour VGA+ 80x25,Console: colour VGA+ <NUM><HEX>,False,normal,5
2024-06-09 06:06:20,kernel,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)","Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",False,normal,3
