timestamp,hostname,service,message,is_kernel_related,is_failure,matched_patterns,severity,message_length,word_count,fault_type,has_hex_address,has_memory_value,has_process_id
2024-06-09 06:06:20,combo,kernel,"klogd 1.4.1, log source = /proc/kmsg started.",True,False,kernel,0,45,7,other,False,False,False
2024-06-09 06:06:20,combo,kernel,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,True,False,kernel,0,143,19,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-provided physical RAM map:,True,False,kernel,0,31,4,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),True,False,kernel,0,55,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),True,False,kernel,0,57,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),True,False,kernel,0,55,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),True,False,kernel,0,57,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),True,False,kernel,0,57,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,0MB HIGHMEM available.,True,False,kernel,0,22,3,other,False,True,False
2024-06-09 06:06:20,combo,kernel,126MB LOWMEM available.,True,False,kernel,0,23,3,other,False,True,False
2024-06-09 06:06:20,combo,kernel,zapping low mappings.,True,False,kernel,0,21,3,other,False,False,False
2024-06-09 06:06:20,combo,kernel,On node 0 totalpages: 32430,True,False,kernel,0,27,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,"DMA zone: 4096 pages, LIFO batch:1",True,False,kernel,0,34,6,other,False,False,False
2024-06-09 06:06:20,combo,kernel,"Normal zone: 28334 pages, LIFO batch:6",True,False,kernel,0,38,6,other,False,False,False
2024-06-09 06:06:20,combo,kernel,"HighMem zone: 0 pages, LIFO batch:1",True,False,kernel,0,35,6,other,False,False,False
2024-06-09 06:06:20,combo,kernel,DMI 2.3 present.,True,False,kernel,0,16,3,other,False,False,False
2024-06-09 06:06:20,combo,kernel,ACPI disabled because your bios is from 2000 and too old,True,False,kernel,0,56,11,other,False,False,False
2024-06-09 06:06:20,combo,kernel,You can enable it with acpi=force,True,False,kernel,0,33,6,other,False,False,False
2024-06-09 06:06:20,combo,kernel,Built 1 zonelists,True,False,kernel,0,17,3,other,False,False,False
2024-06-09 06:06:20,combo,kernel,Kernel command line: ro root=LABEL=/ rhgb quiet,True,False,kernel,0,47,7,other,False,False,False
2024-06-09 06:06:20,combo,kernel,mapped 4G/4G trampoline to ffff3000.,True,False,kernel,0,36,5,other,False,False,False
2024-06-09 06:06:20,combo,kernel,Initializing CPU#0,True,False,kernel|cpu,0,18,2,cpu,False,False,False
2024-06-09 06:06:20,combo,kernel,"CPU 0 irqstacks, hard=02345000 soft=02344000",True,False,kernel|cpu,0,44,5,cpu,False,False,False
2024-06-09 06:06:20,combo,kernel,PID hash table entries: 512 (order 9: 4096 bytes),True,False,kernel,0,49,9,other,False,False,False
